Artist ID,Artist Name,Artist Popularity,Artist genre
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,71,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']"
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,72,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
6MF9fzBmfXghAz953czmBC,Taio Cruz,69,"['dance pop', 'pop', 'pop rap']"
4IJczjB0fJ04gs4uvP0Fli,Gym Class Heroes,69,"['dance pop', 'pop rap']"
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,88,"['dance pop', 'pop', 'r&b']"
7i9j813KFoSBMldGqlh2Z1,Riton,68,"['dance pop', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']"
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",85,"['hip hop', 'rap']"
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,67,['israeli pop']
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,75,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
4fxd5Ee7UefO4CUXgwJ7IP,Giveon,81,"['pop', 'r&b']"
0LcJLqbBmaGUft1e9Mm8HV,ABBA,80,"['europop', 'swedish pop']"
6deZN1bslXzeGvOLaLMOIF,Nickelback,77,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']"
3klZnJvYGIbWritVwQD434,Duncan Laurence,69,['dutch pop']
67hb7towEyKvt5Z8Bx306c,Empire of the Sun,70,"['alternative dance', 'australian dance', 'australian electropop', 'dance rock', 'electropop', 'indietronica', 'neo-synthpop']"
5ndkK3dpZLKtBklKjxNQwT,B.o.B,73,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']"
7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,69,"['folk', 'lilith', 'singer-songwriter', ""women's music""]"
0MlOPi3zIDMVrfA9R04Fe3,American Authors,66,"['indie poptimism', 'modern rock', 'pop rock']"
6hN9F0iuULZYWXppob22Aj,Simple Minds,67,"['art rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'pop rock', 'rock', 'scottish new wave', 'soft rock', 'synthpop']"
3Ayl7mCk0nScecqOzvNp6s,Jimmy Eat World,68,"['alternative rock', 'emo', 'modern power pop', 'modern rock', 'neo mellow', 'pop punk', 'pop rock', 'rock']"
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,76,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
29kkCKKGXheHuoO829FxWK,Boston,66,"['album rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
2VSHKHBTiXWplO8lxcnUC9,GAYLE,71,['modern alternative pop']
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,87,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']"
0gxyHStUsqpMadRV0Di1Qt,Rick Astley,65,"['disco', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
07XSN3sPlIlB2L2XNcTwJw,KISS,73,"['album rock', 'glam rock', 'hard rock', 'metal', 'rock']"
19ra5tSw0tWufvUp8GotLo,George Michael,72,"['dance pop', 'new wave pop']"
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,80,"['colombian pop', 'pop']"
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,89,"['k-pop', 'k-pop girl group']"
7dWYWUbO68rXJOcyA7SpJk,Fort Minor,62,"['pop rap', 'rap rock']"
