Album ID,Album Name
2vGU0DOcfsDee0euvhl1iZ,B4 The Storm
2Qxc2NJ7yPKVFRWi3llRr2,Suncity
0RZ4Ct4vegYBmL9g88TBNi,Don't Kill the Magic
6ylFfzx32ICw4L1A7YWNLN,OASIS
2a1AHCq835BXUcX1aTTWqQ,Certified Hitmaker
0cHT4ll3sEPyFFWoFuibMl,New English
2rDIivxBafNKpgRqlzIRSb,Sweet Talker (Deluxe Version)
1zHfDPtlXk2Biq8iVS1I3F,Peace Is The Mission (Extended)
6Ei5WWek37m1x9AjpSXTcJ,More Than You Know
3pLdWdkj83EYfDN6H2N8MR,Black Panther The Album Music From And Inspired By
1I4W7JKzYbl8VKRfD61DIS,Stay
18pR217SWwBjODSRWFBw0I,Starving
6t7956yu5zYf5A829XRiHC,The Marshall Mathers LP
5ppnlEoj4HdRRdRihnY3jU,"Oral Fixation, Vol. 2 (Expanded Edition)"
4UxlLk460BnmQlRV3WiORh,everything means nothing
11Bkx3E99vf0IlYPND61LJ,"Young, Wild & Free (feat. Bruno Mars)"
2v9rQe4F8fVSh5v8bAq0jF,Scared to Be Lonely
3SZr5Pco2oqKFORCP3WNj9,Graduation
4a6DxkhmMvvEdPXxm4ergN,New Eyes
0MV1yCXcNNQBfwApqAVkH0,Without Warning
4qZBW3f2Q8y0k1A84d4iAO,"My Dear Melancholy,"
4VzzEviJGYUtAeSsJlI9QB,Woodstock
5zClcGCSWj926AMjvBNSLc,Songs About Jane: 10th Anniversary Edition
1V9oE8bVilClrk5naqyyvL,Dancing With A Stranger (with Normani)
0BwWUstDMUbgq2NYONRqlu,Rumours (Super Deluxe)
2F7tejLHzTqFq2XLol9ZGy,Global Warming: Meltdown (Deluxe Version)
1ATL5GLyefJaxhQzSPVrLX,Scorpion
1qyjZGIeeLJlXbYWuoloWj,Nervous System
3euz4vS7ezKGnNSwgyvKcd,Positions
10v912xgTZbjAtYfyKWJCS,Highway to Hell
3ThQ5dvf9wlqB0C7evh5nH,Red Pill Blues (Deluxe)
2AJaA0is5qbaqFy77tPl7B,Illuminate (Deluxe)
2Auw0pTT6EcQdvHNimhLQI,V
3OZgEywV4krCZ814pTJWr7,Dangerous Woman
0kBfgEilUFCMIQY5IOjG4t,Slippery When Wet
0T6QxdJZwYrXPHd829SnqK,La 167
1I6FpscJIfwf4T56VxGVsB,We Love You Tecca
1GYVNOzwhx1nMcIJDogSNp,Death Race For Love
5D20ZzsNB377xbshIFP9Nb,Sadnecessary
47BiFcV59TQi2s9SkBo2pb,Recovery
4E7bV0pzG0LciBSWTszra6,X&Y
21jF5jlMtzo94wbxmJ18aa,30
1tFnP9PwIMeMIuj92mfswZ,Calma (Remix)
5Mu891tmjTbt64meovPSuf,Tell Me You Love Me
4fOw7xSDwqb58Z2Qia5j81,BUTTERFLY EFFECT
63eaHsLLsW1e5ISNf7ISZy,#3
2yXnY2NiaZk9QiJJittS81,Drip Harder
4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding
4UMjBXcRqIgMZ1XumU2x5T,Dizzy up the Girl
7dqftJ3kas6D0VAdmt3k3V,Stories
5XyJzEROSmup2TcWmVjTIt,Sugar
3oEqMQVxXfn2jGRaauU2iv,Long Way Down
64aKkqxc3Ur2LYIKeS5osS,The Time Of Our Lives
0BJYNipGyMrw4ngKDJXzXZ,Gangsta's Paradise
1nAQbHeOWTfQzbOoFrvndW,Planet Her
1MmVkhiwTH0BkNOU3nw5d3,Hot Pink
6EVYTRG1drKdO8OnIQBeEj,My Everything (Deluxe)
5ySxm9hxBNss01WCL7GLyQ,Millennium
4vu7F6h90Br1ZtYYaqfITy,The Razors Edge
5IenxFp0vpnXBUxPcwJtbE,MKTO
6qNMYsx5OUFDXWAoct9Pge,Astronomical
1RWiRfdNZKDe8VXzzf2VEc,you broke me first
4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open
7JtT7OyWM8BnIS5FXXPMKg,Emmanuel
1DCI2yWmV4UI7Aga71yx9B,Blood Sugar Sex Magik
7q2B4M5EiBkqrlsNW8lB7N,2001
6VSOIs13DaSG2IPilNviX5,Yonaguni
6400dnyeDyD2mIFHfkwHXN,Pablo Honey
6s84u2TUpR3wdUv4NgKA2j,SOUR
42wLKnuGyBLGWwH89lnimL,Te Bot�� (Remix)
6mGDfbDErYIJsmSewvccWm,Meet The Orphans
4bNPOFOzxGhF5jhfIK6lit,High Off Life
4otkd9As6YaxxEkIjXPiZ6,Music To Be Murdered By
2CMlkzFI2oDAy5MbyV7OV5,Kid Krow
5BxvswQSGWrBbVCdx6mFGO,Chaos And The Calm
6al2VdKbb6FIz9d7lU7WRB,Proof
0fLhefnjlIV3pGNF9Wo8CD,Californication
2e5CxfyEwBW115beiwh7Mc,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
6bfkwBrGYKJFk6Z4QVyjxd,Skrillex and Diplo present Jack ��
54V1ljNtyzAm053oJqi0SH,Second Helping (Expanded Edition)
1XMw3pBrYeXzNXZXc84DNw,Savage Love (Laxed - Siren Beat)
3nBQlhUvErkw8DVpF47WAn,Breaking Me
2gKQvajkEEaDtkqJ8FJ4uw,Fetty Wap (Deluxe)
5MQBzs5YlZlE28mD9yUItn,PRISM (Deluxe)
55zQqrjWsFHRcI1mxlQSsZ,Fast Car
6fb7z9rBdrjzpBTg1R1Bwp,Eyes Open
5glfCPECXSHzidU6exW8wO,Head & Heart (feat. MNEK)
5CZR6ljD0x9fTiS4mh9wMp,Only By The Night
704GHNtZhEe9TBgleCNNGv,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)
63iWSELt9V1kV6RSMxN7Ii,Changes
4QUNWTw2FsIz722xjUjFJw,Issa Album
2Auw0pTT6EcQdvHNimhLQI,V
1YwzJz7CrV9fd9Qeb6oo1d,Watch The Throne (Deluxe)
3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams
